R,G,B,observe_type_eyes,class
1,0,0,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,1,STAR
1,0,1,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,1,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,1,1,1,STAR
1,0,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,0,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,0,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,0,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,1,STAR
1,1,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,QSO
1,1,1,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,QSO
1,1,1,0,QSO
1,1,1,1,STAR
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,0,1,STAR
1,1,1,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,0,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,1,0,QSO
1,1,0,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,0,QSO
1,0,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,1,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,1,0,1,STAR
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,1,0,QSO
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,0,0,1,STAR
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,1,1,0,QSO
1,1,1,1,STAR
1,1,1,1,STAR
1,1,0,1,STAR
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,QSO
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,1,0,QSO
1,1,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
0,0,1,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,1,STAR
1,1,1,0,QSO
1,0,0,1,STAR
1,0,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
0,1,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,QSO
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,1,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,QSO
1,1,0,1,STAR
1,1,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,1,0,0,GALAXY
1,1,1,0,QSO
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,1,STAR
1,0,0,1,STAR
1,1,0,1,STAR
1,1,0,0,QSO
1,1,0,1,STAR
1,0,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,1,STAR
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,QSO
1,1,1,0,QSO
1,1,1,1,STAR
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,1,STAR
1,1,1,1,STAR
1,0,0,0,GALAXY
1,1,1,1,STAR
1,0,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,0,1,0,QSO
1,1,0,1,STAR
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,1,0,QSO
1,0,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,0,0,0,GALAXY
1,1,1,0,QSO
1,1,1,0,QSO
1,1,1,0,QSO
1,1,0,1,STAR
1,1,1,0,QSO
1,1,0,0,QSO
1,1,1,0,QSO
1,1,0,1,STAR
1,0,0,0,QSO
